ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
202136_at	2.22e-05	2.54e-06	5.7293391	4.28959	6.14e-01	ZMYND11	zinc finger MYND-type containing 11
213093_at	2.23e-05	2.55e-06	5.7285278	4.28727	1.67	PRKCA	protein kinase C alpha
201716_at	2.23e-05	2.55e-06	-5.7275467	4.28447	-5.80e-01	SNX1	sorting nexin 1
215030_at	2.26e-05	2.59e-06	5.7226941	4.27059	1.44	GRSF1	G-rich RNA sequence binding factor 1
210135_s_at	2.26e-05	2.59e-06	5.7222765	4.2694	1.74	SHOX2	short stature homeobox 2
205024_s_at	2.26e-05	2.59e-06	-5.7222214	4.26924	-1.33	RAD51	RAD51 recombinase
204556_s_at	2.26e-05	2.59e-06	5.7219848	4.26857	1.03	DZIP1	DAZ interacting zinc finger protein 1
201998_at	2.28e-05	2.61e-06	5.7196135	4.26179	1.23	ST6GAL1	ST6 beta-galactoside alpha-2,6-sialyltransferase 1
211795_s_at	2.28e-05	2.62e-06	-5.7186472	4.25902	-2.24	FYB	FYN binding protein
219324_at	2.28e-05	2.62e-06	-5.718415	4.25836	-8.32e-01	NOL12	nucleolar protein 12
221221_s_at	2.28e-05	2.62e-06	5.7180602	4.25734	1.25	KLHL3	kelch like family member 3
212100_s_at	2.29e-05	2.63e-06	5.7167249	4.25353	5.39e-01	POLDIP3	DNA polymerase delta interacting protein 3
44654_at	2.29e-05	2.64e-06	5.7165405	4.253	9.13e-01	G6PC3	glucose-6-phosphatase catalytic subunit 3
201865_x_at	2.29e-05	2.64e-06	5.7160323	4.25155	7.24e-01	NR3C1	nuclear receptor subfamily 3 group C member 1
203756_at	2.29e-05	2.64e-06	5.7158762	4.2511	1.49	ARHGEF17	Rho guanine nucleotide exchange factor 17
207623_at	2.30e-05	2.65e-06	5.7142997	4.24659	1.09	ABCF2	ATP binding cassette subfamily F member 2
207090_x_at	2.31e-05	2.66e-06	5.7136471	4.24473	1.08	ZFP30	ZFP30 zinc finger protein
201990_s_at	2.34e-05	2.70e-06	5.7082275	4.22923	1.20	CREBL2	cAMP responsive element binding protein like 2
205436_s_at	2.36e-05	2.72e-06	-5.7059531	4.22273	-1.23	H2AFX	H2A histone family member X
218127_at	2.37e-05	2.74e-06	5.7029879	4.21425	1.09	NFYB	nuclear transcription factor Y subunit beta
207654_x_at	2.38e-05	2.75e-06	-5.7017698	4.21076	-1.09	DR1	down-regulator of transcription 1
221911_at	2.38e-05	2.75e-06	5.701763	4.21074	9.19e-01	ETV1	ETS variant 1
205031_at	2.41e-05	2.78e-06	5.6980602	4.20016	1.56	EFNB3	ephrin B3
203140_at	2.41e-05	2.78e-06	5.6975799	4.19878	7.02e-01	BCL6	B-cell CLL/lymphoma 6
213106_at	2.41e-05	2.79e-06	5.69671	4.19629	2.10	ATP8A1	ATPase phospholipid transporting 8A1
203510_at	2.42e-05	2.80e-06	5.6958082	4.19372	1.17	MET	MET proto-oncogene, receptor tyrosine kinase
204937_s_at	2.42e-05	2.81e-06	5.6946701	4.19046	1.08	ZNF274	zinc finger protein 274
210155_at	2.43e-05	2.81e-06	5.6938883	4.18823	2.41	MYOC	myocilin
203054_s_at	2.43e-05	2.81e-06	5.6937874	4.18794	8.57e-01	TCTA	T-cell leukemia translocation altered
220414_at	2.44e-05	2.82e-06	-5.6924932	4.18424	-1.60	CALML5	calmodulin like 5
218308_at	2.44e-05	2.83e-06	-5.6922468	4.18353	-1.17	TACC3	transforming acidic coiled-coil containing protein 3
212253_x_at	2.44e-05	2.83e-06	5.6917592	4.18214	1.07	DST	dystonin
207291_at	2.44e-05	2.83e-06	-5.6914941	4.18138	-1.75	PRRG4	proline rich and Gla domain 4
213161_at	2.45e-05	2.84e-06	5.6899608	4.17699	7.59e-01	TSTD2///TMOD1	thiosulfate sulfurtransferase like domain containing 2///tropomodulin 1
